iptv 2026-05-23 21:53,#genre#
TVB ENTERTAINMENT NEWS,https://linearjitp-playback.astro.com.my/dash-wv/linear/5015/default_ott.mpd
TVB JADE,https://linearjitp-playback.astro.com.my/dash-wv/linear/2600/default_ott.mpd
TVB MAGIC,https://linearjitp-playback.astro.com.my/dash-wv/linear/5107/default_ott.mpd
TVB XING HE HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/401/default_ott.mpd
TVBS ASIA HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/402/default_ott.mpd
TVBS NEWS HD,https://linearjitp-playback.astro.com.my/dash-wv/linear/5008/default_ott.mpd
988 FM,https://playerservices.streamtheworld.com/api/livestream-redirect/988_FMAAC
8FM,https://stream.rcs.revma.com/qp0xrd9mtd3vv/11_1cafl4qraqbr402/playlist.m3u8
AI FM,https://playerservices.streamtheworld.com/api/livestream-redirect/AI_FMAAC
ALAM MAYA FM,http://192.99.8.192:3142/stream
ALAM SENI FM,http://s1.cmesolution.my:6178/;stream.mp3
AMBOI FM,https://amboifm.iradio.work:8000/stream
ASYIK FM,https://22273.live.streamtheworld.com/ASYIK_FMAAC
BAPAKKU FM,https://servidor30-2.brlogic.com:7048/live
BEST FM,https://n22a-eu.rcs.revma.com/h34x4kgg9hhvv.m4a
BINTULU FM,https://22273.live.streamtheworld.com/BINTULU_FMAAC
CATS FM,https://s4.yesstreaming.net:7019/stream
CERIA FM,http://ceriafm.iradio.work:8080/
CERITERA FM,http://live.ceriterafm.my:8000
DE’AWAN FM,https://azuracast.shoutcastsolutions.com/radio/8120/radio.mp3
DELIMA FM,http://167.114.131.90:5610/;stream.nsv
ERA,https://stream.rcs.revma.com/crec9cmbv4uvv/14_1mxuqy6p1izr902/playlist.m3u8
ERA (SABAH),https://stream.rcs.revma.com/4p3nqmmbv4uvv/2_pb4xshnpxem902/playlist.m3u8
ERA (SARAWAK),https://stream.rcs.revma.com/bkqfqkrbv4uvv/7_1um684sg3fitb02/playlist.m3u8
ERA CINTAN,https://stream.rcs.revma.com/0z5mdyv711uvv/12_8100nev0v11a02/playlist.m3u8
ERA FLOW,https://stream.rcs.revma.com/7g70h6v711uvv/13_gujhea6x6g0t02/playlist.m3u8
ERA K-HIT,https://stream.rcs.revma.com/m1hzxaw711uvv/8_1j7pvp5b3y8r202/playlist.m3u8
ERA INDIE,https://stream.rcs.revma.com/qp67k3v711uvv/1_90g44x7bp2zm02/playlist.m3u8
ERA NUROCK,https://stream.rcs.revma.com/4fe3smw711uvv/15_18yf43y46q0zo02/playlist.m3u8
ERA NUSANTERA,https://stream.rcs.revma.com/sgzunsw711uvv/7_1tp64fb9xvrs502/playlist.m3u8
ERA THROWBAEK,https://stream.rcs.revma.com/uq3kmtw711uvv/8_9km8aut9q72f02/playlist.m3u8
FLY FM,https://stream.rcs.revma.com/q17aka9mtd3vv/6_19pj9n9pvoh6p02/playlist.m3u8
GEGAR,https://stream.rcs.revma.com/cn0zcqsbv4uvv/4_ejlx9lzb14zo02/playlist.m3u8
GEGAR HINDI POWER,https://stream.rcs.revma.com/ggn4nww711uvv/16_1jvcsvi5sf2zg02/playlist.m3u8
GEGAR HOH BTABUH,https://stream.rcs.revma.com/5u674yw711uvv/16_1c1frqv8qb5em02/playlist.m3u8
GEGAR MAGHI GELEK,https://stream.rcs.revma.com/97gya1w711uvv/7_1longra7dqcba02/playlist.m3u8
GEGAR TRADISI,https://stream.rcs.revma.com/ad2y31w711uvv/3_uux2412lm9kd02/playlist.m3u8
GEMERSIK FM,http://51.79.219.206:8000/stream
HAVOC,http://nebula.shoutca.st:8098/stream
HIJAU FM,https://stream.radio.co/s4c9c7e0cb/listen
HOT FM,https://stream.rcs.revma.com/drakdf8mtd3vv/2_1pjpn0nyne6ry02/playlist.m3u8
IKIM FM,https://ais-sa8.cdnstream1.com/5035/playlist.m3u8
ILA FM,http://s1.cmesolution.my:5442/;stream.mp3
IMPIAN FM,http://167.114.131.90:6156/;stream.mp3
IRAS FM,http://167.114.131.90:5744/stream
JAZZ LOUNGE,https://eu8.fastcast4u.com/proxy/lch?mp=/1
JEI FM,https://usa3.fastcast4u.com/proxy/jeifm?mp=/1
JOHOR FM,https://28163.live.streamtheworld.com/JOHOR_FMAAC
KABAN FM,http://cloud.tujuh.my:8018/stream?type=.mp3/;
KCFM,http://radio.kcfm.org:8000/stream
KEDAH FM,https://28103.live.streamtheworld.com/KEDAH_FMAAC
KELANTAN FM,https://28093.live.streamtheworld.com/KELANTAN_FMAAC
KENINGAU FM,https://28103.live.streamtheworld.com/KENINGAU_FMAAC
KL FM,https://22273.live.streamtheworld.com/KL_FMAAC.aac
KLASIK FM,https://28103.live.streamtheworld.com/RADIO_KLASIKAAC.aac
KLATEKITA FM,http://s6.voscast.com:9748/;stream.nsv
KOOL101 FM,https://stream.rcs.revma.com/3930238mtd3vv/2_1qs9hosuwug5902/playlist.m3u8
KUALA SENTUL DIHATI FM,http://51.79.219.202:8000/stream
KUPI KUPI FM SABAH,https://stream.rcs.revma.com/axht8yawe1bwv/2_18wn0vtfz96i402/playlist.m3u8
KUPI KUPI FM SARAWAK,https://stream.rcs.revma.com/vx54zkbwe1bwv/3_j71se4uny0me02/playlist.m3u8
LABUAN FM,https://22243.live.streamtheworld.com/LABUAN_FMAAC
LANGKAWI FM,https://22273.live.streamtheworld.com/LANGKAWI_FMAAC.aac
LIMBANG FM,https://22273.live.streamtheworld.com/LIMBANGAAC.aac
LTFM,http://live.ltfmonline.com:8000/stream
MACC FM,https://listen.radioking.com/radio/560261/stream/619850
MANIS FM,https://stream.rcs.revma.com/7bmtzk1z403vv/6_1i22gkaums46d02/playlist.m3u8
MINNAL FM,https://22273.live.streamtheworld.com/MINNAL_FMAAC
MIRI FM,https://28163.live.streamtheworld.com/MIRI_FMAAC
MELAKA FM,https://28153.live.streamtheworld.com/MELAKA_FMAAC
MOLEK FM,https://stream.rcs.revma.com/z56xa78mtd3vv/16_q0v5zs8l1wqp02/playlist.m3u8
MUTIARA FM,https://28153.live.streamtheworld.com/MUTIARA_FMAAC
MY FRIEND FM,https://cast3.asurahosting.com/proxy/myfriend/stream
MYKAMPUS RADIO,https://usa10.fastcast4u.com/voicespl
MY SUARA FM,http://s9.voscast.com:7670/;stream.mp3
NAS FM,https://28163.live.streamtheworld.com/NASIONAL_FMAAC
NASYID FM,http://stereo.nasyidfm.com:8000/;stream.nsv
NEGERI FM,https://22273.live.streamtheworld.com/NEGERI_FMAAC
PAHANG FM,https://28103.live.streamtheworld.com/PAHANG_FMAAC
PAKCIKKU FM,http://bluford.torontocast.com:8078/slowradio32
PERAK FM,https://22273.live.streamtheworld.com/PERAK_FMAAC
PERLIS FM,https://28153.live.streamtheworld.com/PERLIS_FMAAC.aac
RADIO ROSAK,https://radiorosak.radioca.st/stream
RADIO AN NUR,https://listen.radioannurmainj.my/proxy/radioannur/stream
RADIO KPKT,https://listen.kpkt.gov.my/proxy/radiokpkt/stream
RAKITA 107.9,https://22243.live.streamtheworld.com/RAKITAAAC/HLS/playlist.m3u8
RED FM,https://28163.live.streamtheworld.com/RED_FMAAC.aac
SABAH FM,https://28103.live.streamtheworld.com/SABAH_FMAAC
SABAH V FM,https://28103.live.streamtheworld.com/SABAH_VFMAAC
SANA SINI FM,https://cast1.asurahosting.com/proxy/sanasini/stream
SANDAKAN FM,https://28163.live.streamtheworld.com/SANDAKAN_FMAAC.aac
SARAWAK FM,https://28163.live.streamtheworld.com/SARAWAK_FMAAC
SELANGOR FM,https://22273.live.streamtheworld.com/SELANGOR_FMAAC
SIBU FM,https://28163.live.streamtheworld.com/SIBU_FMAAC
SINAR,https://stream.rcs.revma.com/azatk0tbv4uvv/6_1h7vqr08pndta02/playlist.m3u8
SINAR IRAMA 70’,https://stream.rcs.revma.com/bb4ey1g811uvv/7_1jnkqqlwj95p802/playlist.m3u8
SINAR IRAMA 80’,https://stream.rcs.revma.com/xdz7f5g811uvv/9_sdr5jru44fg02/playlist.m3u8
SINAR I-MUSIK,https://stream.rcs.revma.com/m0mha6g811uvv/2_1a46z9fm6tl9e02/playlist.m3u8
SINAR IRAMALAYSIA,https://stream.rcs.revma.com/mm13z8g811uvv/14_1dy2qfq5outhb02/playlist.m3u8
SINAR JIWANG,https://stream.rcs.revma.com/5s38zah811uvv/12_77qc1bi7nu6q02/playlist.m3u8
SINAR POP YEH YEH,https://stream.rcs.revma.com/1scz4dh811uvv/7_1rr49i6ci7xdf02/playlist.m3u8
SINAR ROCK KAPAK,https://stream.rcs.revma.com/rz43weh811uvv/4_1tiuzdrilfkvr02/playlist.m3u8
SINAR SINEMA,https://stream.rcs.revma.com/h67e7gh811uvv/16_4f1i8j1zuqj102/playlist.m3u8
SRI AMAN FM,https://22253.live.streamtheworld.com/SRIAMAN_FMAAC
SUARA RAKYAT FM,http://s9.voscast.com:7670
SURIA,https://28163.live.streamtheworld.com/SURIA_FMAAC
TAWAU FM,https://28103.live.streamtheworld.com/TAWAU_FMAAC
TERENGGANU FM,https://22243.live.streamtheworld.com/TERENGGANU_FMAAC
TRAXX FM,https://22273.live.streamtheworld.com/TRAXX_FMAAC.aac
VOSJ,https://listen.radioking.com/radio/224413/stream/267892
WAI FM,https://22243.live.streamtheworld.com/WAI_FM_IBANAAC
WAI FM BIDAYUH / KAYAN,https://28163.live.streamtheworld.com/WAI_FM_BKAAC
ZAYAN,https://stream.rcs.revma.com/7ww2a4tbv4uvv
ZAYAN HAWA TUNES,https://stream.rcs.revma.com/9e7savh811uvv/11_l6iq9m1magta02/playlist.m3u8
ZAYAN NASYEED,https://stream.rcs.revma.com/0q89dxh811uvv/16_1akwoe1eaa6w702/playlist.m3u8
ZAYAN SURAH,https://stream.rcs.revma.com/2uuaayh811uvv/4_1gj94jglz0wik02/playlist.m3u8
ZAYAN TERJEMAH,https://stream.rcs.revma.com/dramduh811uvv/11_1lhbrh2gbhmbm02/playlist.m3u8
RTB ANEKA,https://d1211whpimeups.cloudfront.net/smil:rtb2/playlist.m3u8
RTB GO,https://d1211whpimeups.cloudfront.net/smil:rtbgo/playlist.m3u8
RTB SUKMAINDERA,https://d1211whpimeups.cloudfront.net/smil:rtb1/playlist.m3u8
RADIO BRUNEI🇧🇳,http://youtube.com
RTB HARMONI,https://d2kziuzkf9oizb.cloudfront.net/rd002/chunklist.m3u8
RTB NASIONAL,https://d2kziuzkf9oizb.cloudfront.net/rd005/chunklist.m3u8
RTB NUR ISLAM,https://d2kziuzkf9oizb.cloudfront.net/rd004/chunklist.m3u8
RTB PELANGI,https://d2kziuzkf9oizb.cloudfront.net/rd001/chunklist.m3u8
RTB PILIHAN,https://d2kziuzkf9oizb.cloudfront.net/rd003/chunklist.m3u8
AKTV,https://e.siar.us/live/aktv.m3u8
AL-IMAN TV,https://tv.aliman.id/aliman/live.m3u8
ALWAFA TARIM,https://ammedia.siar.us/ammedia/live/playlist.m3u8
ANTARA NEWS,https://streaming.indihometv.com/atm/DASH/antara/manifest.mpd
ANTV,http://202.80.222.20/cdn/iptv/Tvod/001/channel2000022/1024.m3u8
ASHILL TV,https://ams.juraganstreaming.com:5443/LiveApp/streams/ashiiltv2.m3u8
ATAMBUA TV,https://63b2dc7196c38.streamlock.net:1937/atambua/myStream/chunklist_w1110314352.m3u8
BALIKPAPAN TV,https://5bf7b725107e5.streamlock.net/btv/btv/playlist.m3u8
BANDUNG TV,http://202.150.153.254:65500/bandungtvWEBSITE.m3u8
BANTEN TV,https://5bf7b725107e5.streamlock.net/bantentv/bantentv/chunklist_w1559299828.m3u8
BATAM TV,https://63b2dc7196c38.streamlock.net:1937/ch5/myStream/playlist.m3u8
BTV,http://khano.nng.cloudns.us/live/m3u8/id/270f72deeb5843f.m3u8
BUNGO TV,https://5bf7b725107e5.streamlock.net/bungotv/bungotv/playlist.m3u8
CNBC INDONESIA HD,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/eroz_brebes.m3u8
CNN INDONESIA HD,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/eroz_brebes.m3u8
DHOHO TV,https://dhohotv.siar.us/dhohotv/live/playlist.m3u8
DUNIA LAIN,https://cdn08jtedge.indihometv.com/dassdvr/130/dunialain/manifest.mpd
DUTA TV,https://dutatv.siar.us/dutatv/live/playlist.m3u8
ELSHINTA TV,https://ams.juraganstreaming.com:5443/LiveApp/streams/elshintatv.m3u8
IDTV,https://b1world.beritasatumedia.com/Beritasatu/B1World_1280x720.m3u8?aux=eroz_brebes.m3u8
INDOSIAR,https://streaming.indihometv.com/atm/DASH/indosiar/manifest.mpd
INSERT,https://cdn09jtedge.indihometv.com/joss/130/insert/index.m3u8
INSPIRA TV,https://inspiratv.siar.us/inspiratv/live/playlist.m3u8
JAWA POS TV,https://jawapostv.siar.us/jawapostv/live/playlist.m3u8
JITV,https://mam.jogjaprov.go.id:1937/tv/jitv_720p/chunklist_w850229424.m3u8
JITV,http://103.255.15.222:1935/tv/jitv_720p/playlist.m3u8
KAWANUA TV,https://63b2dc7196c38.streamlock.net:1937/ch18/myStream/playlist.m3u8
LINGKAR TV,https://lingkartv.my.id/hls/lingkartv.m3u8
MADU TV,https://re1.siar.us/madutv/hd720/playlist.m3u8
MENTARI TV,https://cdn08jtedge.indihometv.com/dassdvr/134/mentaritv/manifest.mpd
METRO GLOBE NETWORK,https://edge.medcom.id/live-edge/smil:mgnch.smil/playlist.m3u8
MOJI,https://cdn08jtedge.indihometv.com/dassdvr/134/ochannel/manifest.mpd
MQTV,https://5bf7b725107e5.streamlock.net/mqtv/mqtv/playlist.m3u8
NATUNA TV,https://63b2dc7196c38.streamlock.net:1937/natuna/myStream/chunklist_w1179708856.m3u8
NUSANTARA TV,http://khano.nng.cloudns.us/live/m3u8/id/378a642ff00fed9.m3u8
PJTV BANDUNG,https://63b2dc7196c38.streamlock.net:1937/ch30/myStream/chunklist_w38627436.m3u8
PKTV,https://ams.juraganstreaming.com:5443/LiveApp/streams/pktv.m3u8
PRIMA TV,https://primatv.siar.us/primatv/live/playlist.m3u8
RCTV,https://v10.siar.us/rctv/live/playlist.m3u8
RODJA TV,https://cdn09jtedge.indihometv.com/joss/130/rodjatv/index.m3u8
RTV,http://202.80.222.20/cdn/iptv/Tvod/001/channel2000057/1024.m3u8
SAKTI TV,https://saktitv.siar.us/saktitv/live/playlist.m3u8
SANGKAJI TV JOGJA,https://cdn.gunadarma.ac.id/streams/sangajitv/ingestsangajitv.m3u8
SEMARANG TV,http://116.254.112.74/hls/cakralive.m3u8
SINDO NEWS TV,http://aflaxtv.xyz:8080/test_acct/ohbo1veifa4AhD/165058
SURABAYA TV,https://e.siar.us/live/surabayatv.m3u8
TIMOR TV,https://63b2dc7196c38.streamlock.net:1937/timortv/myStream/chunklist_w689544014.m3u8
TRANS 7,https://streaming.indihometv.com/atm/DASH/trans7/manifest.mpd
TRANS 7,https://video.detik.com/trans7/smil:trans7.smil/chunklist.m3u8
TRANS TV,https://streaming.indihometv.com/atm/DASH/transtv/manifest.mpd
TRANS TV,https://video.detik.com/transtv/smil:transtv.smil/chunklist.m3u8
TV9 NU,https://5bf7b725107e5.streamlock.net/tv9/tv9/playlist.m3u8
TVONE,http://202.80.222.20/cdn/iptv/Tvod/001/channel2000018/1024.m3u8
TVRI NASIONAL,https://ott-balancer.tvri.go.id/live/eds/Nasional/hls/Nasional.m3u8
TVRI DKI JAKARTA,https://ott-balancer.tvri.go.id/live/eds/DKI/hls/DKI-avc1_1500000=10003-mp4a_96000=20001.m3u8
TVRI ACEH,https://ott-balancer.tvri.go.id/live/eds/Aceh/hls/Aceh-avc1_1500000=10006-mp4a_96000=20001.m3u8
TVRI BALI,https://ott-balancer.tvri.go.id/live/eds/Bali/hls/Bali-avc1_1500000=10003-mp4a_96000=20001.m3u8
TVRI BANGKA BELITUNG,https://ott-balancer.tvri.go.id/live/eds/Babel/hls/Babel-avc1_1500000=10003-mp4a_96000=20001.m3u8
TVRI BENGKULU,https://ott-balancer.tvri.go.id/live/eds/Bengkulu/hls/Bengkulu-avc1_1500000=10007-mp4a_96000=20001.m3u8
TVRI GORONTALO,https://ott-balancer.tvri.go.id/live/eds/Gorontalo/hls/Gorontalo-avc1_1500000=10008-mp4a_96000=20001.m3u8
TVRI JAMBI,https://ott-balancer.tvri.go.id/live/eds/Jambi/hls/Jambi-avc1_1500000=10005-mp4a_96000=20001.m3u8
TVRI JAWA BARAT,https://ott-balancer.tvri.go.id/live/eds/Jabar/hls/Jabar-avc1_1500000=10005-mp4a_96000=20001.m3u8
TVRI JAWA TENGAH,https://ott-balancer.tvri.go.id/live/eds/Jateng/hls/Jateng-avc1_1500000=10005-mp4a_96000=20001.m3u8
TVRI JAWA TIMUR,https://ott-balancer.tvri.go.id/live/eds/Jatim/hls/Jatim-avc1_1500000=10008-mp4a_96000=20001.m3u8
TVRI KALIMANTAN BARAT,https://ott-balancer.tvri.go.id/live/eds/Kalbar/hls/Kalbar-avc1_1500000=10006-mp4a_96000_eng=20002.m3u8
TVRI KALIMANTAN TENGAH,https://ott-balancer.tvri.go.id/live/eds/Kalteng/hls/Kalteng-avc1_1500000=10006-mp4a_96000=20001.m3u8
TVRI KALIMANTAN SELATAN,https://ott-balancer.tvri.go.id/live/eds/Kalsel/hls/Kalsel-avc1_1500000=10005-mp4a_96000=20001.m3u8
TVRI LAMPUNG,https://ott-balancer.tvri.go.id/live/eds/Lampung/hls/Lampung-avc1_1500000=10005-mp4a_96000_eng=20003.m3u8
TVRI MALUKU,https://ott-balancer.tvri.go.id/live/eds/Ambon/hls/Ambon-avc1_1500000=10006-mp4a_96000=20001.m3u8
TVRI NUSA TENGGARA BARAT,https://ott-balancer.tvri.go.id/live/eds/NTB/hls/NTB-avc1_1500000=10003-mp4a_96000=20001.m3u8
TVRI NUSA TENGGARA TIMUR,https://ott-balancer.tvri.go.id/live/eds/NTT/hls/NTT-avc1_1500000=10003-
TVRI PAPUA,https://ott-balancer.tvri.go.id/live/eds/Papua/hls/Papua-avc1_1500000=10003-mp4a_96000=20001.m3u8
PUTERA PERLIS MULTIMEDIA,http://youtube
ASTRO BADMINTON,http://217.216.110.49:8000/badmintonK9
ASTRO ARENA BOLA,http://217.216.110.49:8000/bola1K9
ASTRO ARENA BOLA 2,http://217.216.110.49:8000/bola2K9
ASTRO PREMIER LEAGUE,http://217.216.110.49:8000/epl1K9
ASTRO PREMIER LEAGUE 2,http://217.216.110.49:8000/epl2K9
MUTV,https://fastly.live.brightcove.com/6374053280112/eu-west-1/6058004203001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiYXplMnp5LmVncmVzcy55ODN1ZWIiLCJhY2NvdW50X2lkIjoiNjA1ODAwNDIwMzAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI2MDU4MDA0MjAzMDAxIl0sImp0aSI6IjYzNzQwNTMyODAxMTIifQ.CpuijBxTUYZTaso6UHbVTjXMcRD3m5x7cL4ygwCFL48/playlist-dash.mpd
TVRI SPORT,https://ott-balancer.tvri.go.id/live/eds/SportHD/hls/SportHD.m3u8
WWE SUPERSTARS CENTRAL,https://jmp2.uk/stvp-US700005ID
SALAM BAITULLAH,https://d25tgymtnqzu8s.cloudfront.net/event/smil:event2/chunklist_b2596000_sIENG.m3u8
APETITO,https://d1sq2slp9afh7o.cloudfront.net/smil:apetito/chunklist_b2596000_slENG.m3u8
FITRAH,https://d1sq2slp9afh7o.cloudfront.net/smil:fitrah/chunklist_b2596000_slENG.m3u8
JR.,https://d1sq2slp9afh7o.cloudfront.net/smil:jr/chunklist_b2596000_slENG.m3u8
LEAD,https://d1sq2slp9afh7o.cloudfront.net/smil:lead/chunklist_b2596000_slENG.m3u8
ROLL,https://d1sq2slp9afh7o.cloudfront.net/smil:roll/chunklist_b2596000_slENG.m3u8
SNAP,https://d1sq2slp9afh7o.cloudfront.net/smil:snap/chunklist_b2596000_slENG.m3u8
RTM ASEAN,https://d25tgymtnqzu8s.cloudfront.net/event/smil:event1/chunklist_b2596000_slENG.m3u8
TV2,https://d25tgymtnqzu8s.cloudfront.net/smil:tv2/playlist.m3u8?id=2
TV3,https://get.perfecttv.net/myunifi.mpd?username=vip_3klp0es8&password=wg3piwEs&channel=TV3&kid=ce43641a-061a-44fb-9d95-d986cfc9a68f
MEDIA SELANGOR,https://dedm91s0p00ib.cloudfront.net/smil:selangor/playlist.m3u8?id=1&CMCD=cid%3D%221%22%2Cot%3Dm%2Cmp-schema%3D%22Live%20Channel%22%2Csf%3Dh%2Csid%3D%22773d8db9-2502-4536-85a1-5a1e66d4f274%22%2Cmp-site%3D%22Selangor%20TV%22%2Cst%3Dv%2Csu%2Cmp-user%3D0
MEDIA SELANGOR,https://dedm91s0p00ib.cloudfront.net/smil:selangor/chunklist b3128000_slmsa.m3u8
TV IKIM,https://edge-sg1.vediostream.com/abr/tvikim/live/tvikim_source/chunks.m3u8
TV IKIM,https://raw.githubusercontent.com/MIFNtechnology/siaranMy/main/channels/TvIkim/index.m3u8
